id,description,country,letter,storage id
791,Bakalar,Czechia,B,134
792,Blue Moon,Belgium,B,133
793,Blue Moon,Belgium,B,132
794,Brouwer,Belgium,B,131
795,Baguales,Chile,B,130
796,Britt,Costa Rica,B,129
797,Bavaria,Germany,B,128
798,Bernard,Czechia,B,126
799,Bernard,Czechia,B,127
800,Bernard,Czechia,B,124
801,Bernard,Czechia,B,125
802,Bernard,Czechia,B,123
803,Belzebuth,Belgium,B,122
804,Branik,Czechia,B,121
805,Barkotex,Czechia,B,120
806,Barao,Brazil,B,119
807,Becherovka,Czechia,B,118
808,Becherovka,Czechia,B,117
809,Becherovka,Czechia,B,116
810,Brasserie de la Senne,Belgium,B,114
811,Becks,Germany,B,115
812,Bohemia,Czechia,B,112
813,Staropramen,Czechia,S,787
814,Saris,Slovakia,S,785
815,Samuel Adams,USA,S,804
816,Sagres,Portugal,S,801
817,San Miguel,Spain,S,803
818,Strakonice,Czechia,S,802
819,Saris,Slovakia,S,786
820,Svijany,Czechia,S,813
821,Svijany,Czechia,S,815
822,Svijany,Czechia,S,814
823,Silly,Belgium,S,805
824,Silly,Belgium,S,806
825,Solnice,Czechia,S,798
826,Snake River,USA,S,807
827,Svijany,Czechia,S,810
828,Svijany,Czechia,S,811
829,Svijany,Czechia,S,812
830,Seicha,Czechia,S,797
831,SUP,Czechia,S,800
832,SUP,Czechia,S,799
833,Schazenbrau,Germany,S,794
834,SQBRU,Belgium,S,796
835,Spejle,Czechia,S,795
836,Spacal,Czechia,S,793
837,Samson,Czechia,S,791
838,Super Bock,Portugal,S,789
839,Sv Norbert,Czechia,S,792
840,Stonebrewing,Czechia,S,788
841,Svabin,Czechia,S,790
842,Schweppes,Switzerland,S,808
843,Pepsi,,P,719
844,Probier,Brazil,P,716
845,Prazacka,Czechia,P,715
846,Pilsner Urquell,Czechia,P,723
847,Pilsner Urquell,Czechia,P,724
848,Perrier,Belgium,P,711
849,Perrier,Belgium,P,712
850,Pilsner Urquell,Czechia,P,727
851,Pilsner Urquell,Czechia,P,725
852,Pilsner Urquell,Czechia,P,726
853,Poctiva,Czechia,P,710
854,Podripsky,Czechia,P,709
855,Permon,Czechia,P,707
856,Pardubicky,Czechia,P,705
857,Pardubicky,Czechia,P,706
858,Pocernicky,Czechia,P,704
859,Peroni,Netherlands,P,708
860,Primator,Czechia,P,702
861,Primator,Czechia,P,701
862,Primator,Czechia,P,703
863,Pilsner Urquell,Czechia,P,722
864,Pilsner Urquell,Czechia,P,720
865,Pilsner Urquell,Czechia,P,728
866,Pilsner Urquell,Czechia,P,721
867,PID,Czechia,P,697
868,Nonkel Pater,Belgium,N,698
869,Prager Laffe,Czechia,P,699
870,Pronck,Netherlands,P,696
871,Petrus,Czechia,P,700
872,U Pivrnce,Czechia,P,714
873,Tripple Crown,Czechia,T,856
874,Permon,Czechia,P,255
875,Pocernak,Czechia,P,713
876,Bad Flash,Czechia,B,45
877,Bad Flash,Czechia,B,46
878,Bad Flash,Czechia,B,47
879,Bad Flash,Czechia,B,48
880,Bad Flash,Czechia,B,695
881,Lupia,Spain,L,690
882,Heteroclito,Greece,H,347
883,La Hechicera,Czechia,L,348
884,Erdinger,Germany,E,230
885,Ottakringer,Austria,O,694
886,Porter,Czechia,P,717
887,Groove Bar,Czechia,G,295
888,Together,Czechia,T,857
889,Mustang,Czechia,M,544
890,Barnie,Czechia,B,109
891,Kasteel,Belgium,K,416
892,Andelsky,Czechia,A,31
893,Super Bock,Portugal,S,809
894,Gambrinus,Czechia,G,296
895,Castello,Portugal,C,256
896,U Orloje,Czechia,U,568
897,U Orloje,Czechia,U,567
898,Zatec,Czechia,Z,924
899,Chyse,Czechia,C,231
900,Chyse,Czechia,C,232
901,Chyse,Czechia,C,192
902,U Orloje,Czechia,U,693
903,Zatec,Czechia,Z,SS
904,Holba,Czechia,H,349
905,Radegast,Czechia,R,692
906,Radegast,Czechia,R,691
907,Uneticky,Czechia,U,914
908,Zichovec,Czechia,Z,922
909,Uneticky,Czechia,U,915
910,Gianni Franzi,Italy,G,639
911,Gianni Franzi,Italy,G,640
912,Pavilhao Chines,Portugal,P,635
913,The Dior,Italy,D,216
914,Menabrea,Italy,M,870
915,VZO,Italy,V,957
916,Beer Port,Slovakia,B,43
917,Krusovice,Slovakia,K,492
918,Pilsner Urquell,Slovakia,P,634
919,Ovipistan,Czechia,O,642
920,Ovipistan,Czechia,O,643
921,Ovipistan,Czechia,O,644
922,Ovipistan,Czechia,O,645
923,Ovipistan,Czechia,O,646
924,Barn,Czechia,B,365
925,U Vojtechu,Czechia,V,656
926,Hradec Kralove,Czechia,H,647
927,Hradec Kralove,Czechia,H,648
928,Hradec Kralove,Czechia,H,649
929,Hradec Kralove,Czechia,H,650
930,Clock,Czechia,C,363
931,Opatovicky,Czechia,O,638
932,Lobkowicz,Czechia,L,455
933,Pilsner Urquell,Czechia,P,636
934,Raven,Czechia,R,493
935,Pecky Snezka,Czechia,P,494
936,Antos,Czechia,A,32
937,Loutkar,Czechia,L,367
938,Hradec Kralove,Czechia,H,651
939,Hradec Kralove,Czechia,H,652
940,Hradec Kralove,Czechia,H,653
941,Hradec Kralove,Czechia,H,654
942,Hradec Kralove,Czechia,H,655
943,Klenot,Czechia,K,368
944,Mordyr,Czechia,M,496
945,Pilsner Urquell,Czechia,P,495
946,Hubertus,Czechia,H,351
947,Falkenstejn,Czechia,F,366
948,Hubertus,Czechia,H,352
949,Craft Beer,Czechia,C,364
950,Hostivar,Czechia,H,350
951,Chouffe,Belgium,C,184
952,Chouffe,Belgium,C,185
953,Carolus,Belgium,C,186
954,Gambrinus,Czechia,G,280
955,Gambrinus,Czechia,G,281
956,Axiom,Czechia,A,871
957,Bernard,Czechia,B,872
958,Cestmir,Czechia,C,873
959,Hradec Kralove,Czechia,H,874
960,Kozel,Czechia,K,875
961,Kofola,Czechia,K,876
962,Primator,Czechia,P,877
963,Rimska,Czechia,R,878
964,Permon,Czechia,P,879
965,Gerhard,Czechia,G,880
966,Kynspersky,Czechia,K,881
967,Uneticky,Czechia,U,882
968,JAT',Belgium,J,883
969,Acropolis,Spain,A,884
970,Sibeeria,Czechia,S,885
971,Beskydsky,Czechia,B,886
972,Jung Berg,Czechia,J,887
973,Out To Lunch,Portugal,O,888
974,Paulaner,Germany,P,959
975,Rebel,Czechia,R,960
976,Guinness,Czechia,G,961
977,Starobrno,Czechia,S,962
978,Poctiva,Czechia,P,963
979,Poctiva,Czechia,P,964
980,Poctiva,Czechia,P,965
981,Maisel,Germany,M,966
982,Mazak,Czechia,M,967
983,Matuska,Czechia,M,968
984,Mazak,Czechia,M,969
985,Svabin,Czechia,S,970
986,Svabin,Czechia,S,971
987,Lod,Czechia,L,972
988,Lod,Czechia,L,973
989,Kronenbourg ,France,K,974
990,Carlsberg,Cyprus,C,975
991,Madcat,Czechia,M,976
992,Beerlovers,Austria,B,977
993,Brew Dog,Czechia,B,978
994,Kino Pivo,Czechia,K,979
995,Mythos,Cyprus,M,980
996,Memories,Cyprus,M,981
997,Estrella Damn,Cyprus,E,982
998,Golem,Cyprus,G,983
999,KEO,Cyprus,K,984
1000,KEO,Cyprus,K,985
1001,Columbia,Cyprus,C,986
1002,U Dvou Kocek,Czechia,U,987
1003,Sdruzeni Pratel Piva,Czechia,S,988
1004,Svabin,Czechia,S,989
1005,Varga Brothers,Czechia,V,990
1006,Kasteel,Belgium,K,991
1007,Efes,Cyprus,E,992
1008,Nachmelena Opice,Czechia,N,993
1009,Agent,Czechia,A,994
1010,Zeliv,Czechia,Z,995
1011,Louka Pivovar,Czechia,L,996
1012,Carolus,Belgium,C,997
1013,Klenot,Czechia,K,998
1014,Anonymous,Czechia,A,999
1015,Starokladno,Czechia,S,1000
1016,Supa,Czechia,S,1001
1017,Holba,Czechia,H,1002
1018,Moravia Pivovar,Czechia,M,1003
01019,,,,
01020,,,,
01021,,,,
01022,,,,
01023,,,,
01024,,,,
01025,,,,
01026,,,,
01027,,,,
01028,,,,
01029,,,,
01030,,,,
01031,,,,
01032,,,,
01033,,,,
01034,,,,
01035,,,,
01036,,,,
01037,,,,
