id,description,country,letter,storage id
174,Dewars,Spain,D,202
175,Alfa Hellenic,Greece,A,4
176,Muflon,Czechia,M,530
177,Brustok,Czechia,B,36
178,Alera,Honduras,A,5
179,Svihov,Czechia,S,748
180,Beranuv,Czechia,B,38
181,Beranuv,Czechia,B,37
182,Erdinger,Germany,E,224
183,Amstel,Greece,A,13
184,Turnov,Czechia,T,505
185,Mythos,Greece,M,510
186,Maisel,Germany,M,499
187,Ename,Belgium,E,222
188,Radeberger,Germany,R,687
189,Obora,Czechia,O,558
190,Obora,Czechia,O,557
191,Bistro4,Czechia,B,84
192,Hejkal,Czechia,H,303
193,Herold,Czechia,H,306
194,Brevnovsky Klaster,Czechia,B,50
195,Koli,Czechia,K,393
196,Zlata Krava,Czechia,Z,940
197,Starobrno,Czechia,S,750
198,Poutnik Pelhrimov,Czechia,P,581
199,Grasel,Czechia,G,259
200,Pegas,Czechia,P,580
201,Slavkovsky,Czechia,S,753
202,Slavkovsky,Czechia,S,754
203,Kos,Czechia,K,391
204,Kasteel,Netherlands,K,392
205,Budvar,Czechia,B,57
206,Pivecka,Czechia,P,428
207,Topolsky,Czechia,T,835
208,Rotor,Czechia,R,670
209,Hauskrecht,Czechia,H,302
210,Pivecka,Czechia,P,427
211,Hauskrecht,Czechia,H,301
212,Dalesice,Czechia,D,193
213,Radegast,Czechia,R,673
214,Radegast,Czechia,R,676
215,Radegast,Czechia,R,674
216,Radegast,Czechia,R,675
217,Beznoska,Czechia,B,66
218,Konrad,Czechia,K,394
219,Propamatky,Czechia,P,583
220,Zlatopramen,Czechia,Z,916
221,Altvater,Czechia,A,8
222,Pardubicky,Czechia,P,601
223,Pilsner Urquell,Czechia,P,613
224,Staropramen,Czechia,S,733
225,Maly Janek,Czechia,M,528
226,Czech Lion,Czechia,C,180
227,Pilsner Urquell,Czechia,P,614
228,Pult,Czechia,P,584
229,Saris,Slovakia,S,729
230,Stern,Czechia,S,755
231,Stella Artois,Belgium,S,740
232,Clock,Czechia,C,156
233,Clock,Czechia,C,157
234,Clock,Czechia,C,158
235,Pardubicky,Czechia,P,600
236,Zichovec,Czechia,Z,921
237,Uneticky,Czechia,U,896
238,Skaut,Czechia,S,751
239,Pardubicky,Czechia,P,597
240,Beranek,Czechia,B,49
241,Berounsky Medved,Czechia,B,40
242,Heineken,Netherlands,H,312
243,Heineken,Netherlands,H,311
244,AvWees,Netherlands,A,3
245,Basta,Czechia,B,39
246,Kilian,Czechia,K,379
247,Cizova,Czechia,C,164
248,Budvar,Czechia,B,58
249,Antos,Czechia,A,2
250,Andelsky,Czechia,A,1
251,Malesov,Czechia,M,534
252,Kosice Pivovar,Slovakia,K,372
253,Siberia,Czechia,S,747
254,Gwern,Czechia,G,258
255,Permon,Czechia,P,607
256,Pilsner Urquell,Czechia,P,622
257,Pilsner Urquell,Czechia,P,621
258,Cvikov,Czechia,C,151
259,Uhrineves,Czechia,U,904
260,Weihenstephan,Germany,W,868
261,Weihenstephan,Germany,W,869
262,Hofbrau Kaltenhausen,Austria,H,300
263,Eggenberg,Austria,E,219
264,Falkenstejn,Czechia,F,244
265,Stella Artois,Belgium,S,739
266,TVerzet,Belgium,t,947
267,Tupadly,Czechia,T,847
268,Zlaty Bazant,Slovakia,Z,931
269,Kozel,Czechia,K,381
270,Breznak,Czechia,B,54
271,Warsteiner,Germany,W,865
